objectid,parentid,object_location,image_thumb,image_small,series,size,numberofpieces,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,display_template,language,rights,rightsstatement
7345-150,,,https://i.imgur.com/w6aUCrf.jpg,https://i.imgur.com/w6aUCrf.jpg,PIC○ME○UP,"7 ½"" x 7 ½""",100 Interlocking Pieces,Beatrix Potter Jigsaw Puzzle: Toad's Tea-Party,Gameophiles Unlimited,1973,Future Description Here,Beatrix Potter,"P.O. Box 34
Berkeley Heights, NJ
07922",40.673206,-74.42019,"Personal Collection, NJ",7345-150,record,multiple,ENG,Public domain,http://rightsstatements.org/vocab/CNE/1.0/
7345-150-a,7345-150,https://i.imgur.com/w6aUCrf.jpg,https://i.imgur.com/w6aUCrf.jpg,https://i.imgur.com/w6aUCrf.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7345-150-b,7345-150,https://i.imgur.com/qpdrjXS.jpg,https://i.imgur.com/qpdrjXS.jpg,https://i.imgur.com/qpdrjXS.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7345-150-c,7345-150,https://i.imgur.com/VdimdgC.jpg,https://i.imgur.com/VdimdgC.jpg,https://i.imgur.com/VdimdgC.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7434-150,,,https://i.imgur.com/mDlT7Ci.jpg,https://i.imgur.com/mDlT7Ci.jpg,PIC○ME○UP,"7 ½"" x 7 ½""",100 Interlocking Pieces,Pawprints Jigsaw Puzzle,Gameophiles Unlimited,1974,,Wallace Tripp; Pawprints,"16 Pine st.
Morristown, NJ
07960",40.79535,-74.478132,"Personal Collection, NJ",7434-150,record,multiple,ENG,Public domain,http://rightsstatements.org/vocab/CNE/1.0/
7434-150-a,7434-150,https://i.imgur.com/mDlT7Ci.jpg,https://i.imgur.com/mDlT7Ci.jpg,https://i.imgur.com/mDlT7Ci.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7434-150-b,7434-150,https://i.imgur.com/Xj1fHug.jpg,https://i.imgur.com/Xj1fHug.jpg,https://i.imgur.com/Xj1fHug.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7434-150-c,7434-150,https://i.imgur.com/kgpUx3o.jpg,https://i.imgur.com/kgpUx3o.jpg,https://i.imgur.com/kgpUx3o.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7342-150,,,https://i.imgur.com/017YVLF.jpg,https://i.imgur.com/017YVLF.jpg,PIC○ME○UP,"7 ½"" x 7 ½""",100 Interlocking Pieces,Beatrix Potter Jigsaw Puzzle: Benjamin Bunny,Gameophiles Unlimited,1973,,Beatrix Potter,"P.O. Box 34
Berkeley Heights, NJ
07922",40.673206,-74.42019,"Personal Collection, NJ",7342-150,record,multiple,ENG,Public domain,http://rightsstatements.org/vocab/CNE/1.0/
7342-150-a,7342-150,https://i.imgur.com/017YVLF.jpg,https://i.imgur.com/017YVLF.jpg,https://i.imgur.com/017YVLF.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7342-150-b,7342-150,https://i.imgur.com/x02A9Pk.jpg,https://i.imgur.com/x02A9Pk.jpg,https://i.imgur.com/x02A9Pk.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7342-150-c,7342-150,https://i.imgur.com/BEPskgE.jpg,https://i.imgur.com/BEPskgE.jpg,https://i.imgur.com/BEPskgE.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7341-150,,,https://i.imgur.com/p93H0MF.jpg,https://i.imgur.com/p93H0MF.jpg,PIC○ME○UP,"7 ½"" x 7 ½""",100 Interlocking Pieces,Beatrix Potter Jigsaw Puzzle: Jemima Puddle-Duck,Gameophiles Unlimited,1973,,Beatrix Potter,"P.O. Box 34
Berkeley Heights, NJ
07922",40.673206,-74.42019,"Personal Collection, NJ",7341-150,record,multiple,ENG,Public domain,http://rightsstatements.org/vocab/CNE/1.0/
7341-150-a,7341-150,https://i.imgur.com/p93H0MF.jpg,https://i.imgur.com/p93H0MF.jpg,https://i.imgur.com/p93H0MF.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7341-150-b,7341-150,https://i.imgur.com/xWV3rrp.jpg,https://i.imgur.com/xWV3rrp.jpg,https://i.imgur.com/xWV3rrp.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7341-150-c,7341-150,https://i.imgur.com/2p6gjXU.jpg,https://i.imgur.com/2p6gjXU.jpg,https://i.imgur.com/2p6gjXU.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7437-150,,,https://i.imgur.com/uID70OU.jpg,https://i.imgur.com/uID70OU.jpg,PIC○ME○UP,"7 ½"" x 7 ½""",100 Interlocking Pieces,Pawprints Jigsaw Puzzle,Gameophiles Unlimited,1974,,Wallace Tripp; Pawprints,"16 Pine st.
Morristown, NJ
07960",40.79535,-74.478132,"Personal Collection, NJ",7437-150,record,multiple,ENG,Public domain,http://rightsstatements.org/vocab/CNE/1.0/
7437-150-a,7437-150,https://i.imgur.com/uID70OU.jpg,https://i.imgur.com/uID70OU.jpg,https://i.imgur.com/uID70OU.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7437-150-b,7437-150,https://i.imgur.com/L80H1d4.jpg,https://i.imgur.com/L80H1d4.jpg,https://i.imgur.com/L80H1d4.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7437-150-c,7437-150,https://i.imgur.com/kGD3Z7W.jpg,https://i.imgur.com/kGD3Z7W.jpg,https://i.imgur.com/kGD3Z7W.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7344-150,,,https://i.imgur.com/ZScqKkv.jpg,https://i.imgur.com/ZScqKkv.jpg,PIC○ME○UP,"7 ½"" x 7 ½""",100 Interlocking Pieces,Beatrix Potter Jigsaw Puzzle: Tailor of Gloucester,Gameophiles Unlimited,1973,,Beatrix Potter,"P.O. Box 34
Berkeley Heights, NJ
07922",40.673206,-74.42019,"Personal Collection, NJ",7344-150,record,multiple,ENG,Public domain,http://rightsstatements.org/vocab/CNE/1.0/
7344-150-a,7344-150,https://i.imgur.com/ZScqKkv.jpg,https://i.imgur.com/ZScqKkv.jpg,https://i.imgur.com/ZScqKkv.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
7344-150-b,7344-150,https://i.imgur.com/I417eD5.jpg,https://i.imgur.com/I417eD5.jpg,https://i.imgur.com/I417eD5.jpg,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
